stream_id,user_id,user_name,game_id,stream_type,title,viewer_count,started_at,language
37538612688,76508554,Anomaly,516575,live,24/7 DROPS STREAM ✔️VOD HIGHLIGHT REEL w/ GLOBAL ELITES [DROPS ENABLED],97907,2020-04-14T14:53:53Z,en
37556068992,36769016,TimTheTatman,516575,live,drops here (im fat) @timthetatman on all socials,63687,2020-04-15T14:07:14Z,en
37554117424,110690086,Myth,516575,live,DROPS ENABLED :D - NOT A RERUN ANDY CLICK ME,54059,2020-04-15T10:10:50Z,en
37541802960,27121969,ONSCREEN,516575,live,🔴DROPS ON🔴 LIVE - NOT A VOD! UK CS VETERAN 🔸 24/7 Streaming while drops last!(VOD only when I sleep) - Follow @onscreenlol for banter.,44622,2020-04-14T18:50:48Z,en
37557947808,121203480,Yassuo,516575,live,🔴 DROPS ENABLED 🔴 LIVE -  @Yassuo ON TWITTER/IG/SOCIALS,42841,2020-04-15T16:50:41Z,en
1195159633,70298660,Skyyart,516575,live,"SKYYART ⚡DROP VALORANT, INTERVIEW valorant",22224,2020-04-15T09:30:03Z,fr
1186380337,36717908,IzakOOO,516575,live,🎁VALORANT BETA DROP🎁 NA ŻYWO STREAM! JAZDAAA!,21085,2020-04-14T11:39:08Z,pl
1195267569,20632757,gamelifeow,516575,live,"[Drops включены] Выбивай ключ, пока тренируемся на ЗБТ перед ранкедом (день 9)",16990,2020-04-15T09:52:56Z,ru
1197916065,61597675,IrmanPlay,516575,live,DROPS - ПОЛУЧИ ДОСТУП ТУТ ► Сегодня будет жарко! ► Голосовой чат для совместной игры https://bit.ly/SforyDiscord,16240,2020-04-15T15:47:23Z,ru
37552544320,14408894,CDNThe3rd,516575,live,Better Drops ✔ | 120+Hrs Exp ✔ | Entertainment ✔ | ADDICTED ✔ | All Socials: CDNThe3rd | [+],14941,2020-04-15T06:16:10Z,en
1197518241,64342766,Trymacs,516575,live,"ERSTES VALORANT Pro Player Show Match ab 18 Uhr! Wir suchen das Beste Team Deutschlands!
!prime",14606,2020-04-15T15:04:40Z,de
1196449217,96116107,Mixwell,516575,live,Mixwell - Team Culebrillas - VALORANT and BETA DROPS. Sorteo CAMISETAS FIRMADAS | !Sorteo,13295,2020-04-15T13:02:06Z,es
1196351809,22484632,forsen,516575,live,"@forsen, [DROPS ENABLED] Cheese, exploits and missed sniper shots.",12238,2020-04-15T12:50:35Z,en
37553756240,23735582,Sacriel,516575,live,[DROPS ENABLED] VALORANT WITH THE LADS!,9822,2020-04-15T09:14:56Z,en
37556268080,24991333,imaqtpie,516575,live,gamer with drops lf squad :],9394,2020-04-15T14:26:55Z,en
37556092384,38499199,POW3Rtv,516575,live,[DROPS ON] PATCH VALORANT  | !settingsvalorant !beta !setup !prime,8389,2020-04-15T14:09:29Z,it
37555874704,26991127,Hiko,516575,live,Drops Enabled! 100T Invitiational Champs! Breach main plays VALORANT!  | @Hiko on Twitter,8255,2020-04-15T13:48:27Z,en
37557432320,79442833,Mithrain,516575,live,🔥 VALORANT DROP AÇIK 🔥 | instagram.com/cemkarakoc,7455,2020-04-15T16:09:44Z,tr
1185825185,31453284,CzechCloud,516575,live,MÍŘÍM NA HLAVU HARRY // DROPY JEDOU // !GIVEAWAY,6665,2020-04-14T09:52:28Z,cs
37541033344,3481156,Valkia,516575,live,[Drops ALL DAY]  🔸 Valorant Closed BETA  🔸 !sub @officialvalkia ,6662,2020-04-14T18:01:48Z,en
1195029297,32951395,MoraisHD,516575,live,VALORANT DROPS ACTIVE!!! +++ 9 euros caralho! +++ !emotes,6604,2020-04-15T09:00:06Z,pt
1197980865,68124914,blackelespanolito,516575,live,[DROPS DE BETAS ACTIVOS] TARDE Y NOCHE DE DISPAROS EN VALORANT,6516,2020-04-15T15:54:05Z,es
37551197424,71190292,Trainwreckstv,516575,live,🔴LUCKIEST DROPS ENABLED🔴 LONG STREAM | !twitter | !podcast,6308,2020-04-15T04:10:07Z,en
37544028928,27186524,Mazarin1k,516575,live,"DROPy! 24/7 STREAM - Kazda prohra = 5 subu do chatu, dnes neprohravam!👉 !challenge (hry se suby) 👉 !news 👉 !valorant 👉 Svátek má Anastázie.",6034,2020-04-14T21:04:35Z,cs
1196913825,133928858,Leviathan,516575,live,• VALORANT DROPS ENABLED 💥| !redes✨,6033,2020-04-15T13:58:10Z,es
1195578609,41314239,dafran,516575,live,[DROPS] ATL Dafran - SOVA GOD,5908,2020-04-15T10:52:52Z,en
1195899201,38446500,G4G_REVENANT,516575,live,REVENANT | DROPS ACTIVADOS POR FIN LETS GOOOO!! Aquí solo damos betas a los más guapos,5403,2020-04-15T11:46:59Z,es
1185261473,49335974,LotharHS,516575,live,🔴DROPY 24/7🔴Powtorka z live'a dzisiejszego,5338,2020-04-14T07:10:12Z,pl
1185739825,24943033,nookyyy,516575,live,✅ DROPS ON ✅ Alles andere ist Bahnhof - RERUN - STREAM 24/7 WHILE DROPS ARE ENABLED,5280,2020-04-14T09:32:32Z,de
1186773073,29468517,PAGO3,516575,live,DROP VALORANT 😎 STREAMA POWTÓREK,5222,2020-04-14T12:37:32Z,pl
37539735792,45143025,POACH,516575,live,DROPS ENABLED! LONG STREAM (rerun) - @poach !fragmovie !socials !vid,5022,2020-04-14T16:29:35Z,en
37555333104,25093116,fl0m,516575,live,"DROPS ENABLED | PLAYING W/ TIM, HIKO, JFISHER & MYTH @fl0mtv",4967,2020-04-15T12:50:41Z,en
1196364513,85956078,Pengu,516575,live,"!prime More Valorant gameplay. ( drops on ALL streams now ) 
new emotes!",4785,2020-04-15T12:52:16Z,en
1196711217,43102846,Shaunz,516575,live,SHAUNZ - Echauffement puis à 20h Showmatch Valorant O'Gaming,4596,2020-04-15T13:34:02Z,fr
37554107280,63142572,CyanidePlaysGames,516575,live,BETA DROPS ENABLED! 1080p60fps Valorant Stream!,4457,2020-04-15T10:09:21Z,en
