,viewer_id,Recency,RecencyCluster,Frequency,FrequencyCluster,Engagement,EngagementCluster,OverallScore,Segment,m6_Engagement
0,14620.0,13,3,26,0,412.78,0,3,Mid-Value,0.0
1,18044.0,6,3,57,0,808.9599999999997,0,3,Mid-Value,994.49
2,18075.0,12,3,34,0,660.0700000000003,0,3,Mid-Value,1341.0300000000002
3,15241.0,0,3,63,0,965.4,0,3,Mid-Value,791.04
4,15660.0,12,3,31,0,529.72,0,3,Mid-Value,517.48
5,14676.0,15,3,17,0,1148.52,0,3,Mid-Value,1399.7200000000003
6,12747.0,6,3,35,0,1082.0900000000001,0,3,Mid-Value,1666.1099999999992
7,14560.0,4,3,12,0,562.28,0,3,Mid-Value,964.9699999999999
8,16389.0,13,3,16,0,670.1700000000001,0,3,Mid-Value,711.9000000000001
9,17961.0,4,3,68,0,263.96,0,3,Mid-Value,422.04999999999995
10,14292.0,12,3,42,0,1125.2099999999998,0,3,Mid-Value,3333.4
11,13094.0,13,3,7,0,487.80000000000007,0,3,Mid-Value,986.8800000000001
12,17770.0,6,3,38,0,1143.2699999999995,0,3,Mid-Value,0.0
13,14239.0,8,3,46,0,930.06,0,3,Mid-Value,1085.8099999999997
14,14388.0,11,3,48,0,860.39,0,3,Mid-Value,2039.6499999999987
15,14057.0,7,3,51,0,1126.8299999999997,0,3,Mid-Value,3541.43
16,17001.0,15,3,46,0,1029.05,0,3,Mid-Value,1779.95
17,15220.0,11,3,56,0,858.1900000000002,0,3,Mid-Value,920.7700000000002
18,14447.0,4,3,39,0,601.0300000000001,0,3,Mid-Value,562.2
19,16449.0,5,3,40,0,707.6899999999998,0,3,Mid-Value,0.0
20,18223.0,13,3,54,0,1097.6399999999996,0,3,Mid-Value,3148.3400000000006
21,16356.0,5,3,31,0,211.76999999999998,0,3,Mid-Value,0.0
22,14817.0,8,3,63,0,1110.3399999999997,0,3,Mid-Value,0.0
23,16782.0,12,3,26,0,430.71000000000004,0,3,Mid-Value,931.6
24,14407.0,13,3,35,0,1002.68,0,3,Mid-Value,1155.05
25,14336.0,6,3,59,0,1114.39,0,3,Mid-Value,500.5199999999999
26,14032.0,14,3,54,0,916.15,0,3,Mid-Value,1256.8999999999994
27,12924.0,6,3,13,0,597.08,0,3,Mid-Value,278.43
28,14825.0,12,3,15,0,388.1,0,3,Mid-Value,1099.9499999999996
29,14344.0,14,3,31,0,290.22999999999996,0,3,Mid-Value,244.04999999999998
30,15379.0,16,3,31,0,581.02,0,3,Mid-Value,440.1800000000002
31,16945.0,9,3,65,0,993.04,0,3,Mid-Value,2571.82
32,14334.0,11,3,63,0,1005.6599999999997,0,3,Mid-Value,873.98
33,14976.0,4,3,30,0,294.31,0,3,Mid-Value,340.6
34,13842.0,7,3,57,0,920.9399999999997,0,3,Mid-Value,1557.1499999999999
35,14083.0,7,3,3,0,29.58,0,3,Mid-Value,59.45
36,14733.0,12,3,24,0,966.8599999999999,0,3,Mid-Value,1678.33
37,14060.0,13,3,34,0,1025.64,0,3,Mid-Value,2885.8399999999992
38,16570.0,13,3,39,0,1023.1699999999998,0,3,Mid-Value,2265.1699999999996
39,16156.0,14,3,31,0,756.73,0,3,Mid-Value,1745.8600000000004
40,16293.0,15,3,45,0,750.99,0,3,Mid-Value,1119.2500000000002
41,16168.0,0,3,24,0,848.3099999999998,0,3,Mid-Value,2474.5900000000006
42,14092.0,4,3,45,0,877.2399999999999,0,3,Mid-Value,1924.980000000001
43,16497.0,11,3,60,0,1038.3200000000002,0,3,Mid-Value,1414.99
44,17515.0,14,3,46,0,339.89,0,3,Mid-Value,67.64999999999999
45,12955.0,11,3,34,0,697.4199999999997,0,3,Mid-Value,3252.5200000000004
46,13946.0,9,3,9,0,485.96999999999997,0,3,Mid-Value,75.6
47,13650.0,15,3,36,0,745.5199999999998,0,3,Mid-Value,1090.82
48,18168.0,12,3,55,0,410.5,0,3,Mid-Value,115.15000000000002
49,12937.0,5,3,28,0,428.2300000000001,0,3,Mid-Value,1076.0399999999997
50,17591.0,11,3,33,0,781.8599999999997,0,3,Mid-Value,576.4000000000001
51,15648.0,12,3,25,0,657.3499999999999,0,3,Mid-Value,0.0
52,15854.0,12,3,62,0,837.0900000000003,0,3,Mid-Value,1255.55
53,13591.0,12,3,38,0,776.23,0,3,Mid-Value,340.9
54,16023.0,0,3,65,0,500.69,0,3,Mid-Value,219.11999999999998
55,13911.0,5,3,66,0,1144.6399999999996,0,3,Mid-Value,877.0000000000001
56,15938.0,9,3,8,0,260.4,0,3,Mid-Value,69.28
