user_id,cutoff_time,label,days_to_churn,churn_date
41652,2018-05-01,1.0,21.0,2018-05-22
71336,2018-09-01,1.0,26.0,2018-09-27
78892,2018-06-15,1.0,17.0,2018-07-02
261767,2018-05-15,1.0,18.0,2018-06-02
261767,2019-04-01,1.0,27.0,2019-04-28
274625,2018-06-01,1.0,23.000000000000004,2018-06-24
278302,2019-01-15,1.0,23.000000000000004,2019-02-07
320878,2018-09-01,1.0,18.0,2018-09-19
320878,2019-03-15,1.0,23.000000000000004,2019-04-07
320878,2019-06-01,1.0,25.0,2019-06-26
578065,2018-06-15,1.0,25.0,2018-07-10
918616,2018-01-15,1.0,20.0,2018-02-04
918616,2019-03-01,1.0,14.0,2019-03-15
918616,2019-06-15,1.0,23.000000000000004,2019-07-08
918616,2019-12-01,1.0,25.0,2019-12-26
1375841,2018-09-01,1.0,20.0,2018-09-21
1375841,2018-11-01,1.0,14.0,2018-11-15
1423946,2019-02-15,1.0,15.0,2019-03-02
1429242,2018-07-15,1.0,21.0,2018-08-05
1538499,2019-01-01,1.0,25.0,2019-01-26
1648675,2018-06-15,1.0,24.000000000000004,2018-07-09
1821021,2019-01-01,1.0,14.0,2019-01-15
1821021,2019-09-01,1.0,24.000000000000004,2019-09-25
1870144,2018-07-01,1.0,25.0,2018-07-26
1993152,2019-03-15,1.0,24.000000000000004,2019-04-08
2011748,2019-11-01,1.0,14.0,2019-11-15
2104597,2019-07-01,1.0,25.0,2019-07-26
2142933,2018-04-15,1.0,23.000000000000004,2018-05-08
2164989,2018-08-15,1.0,20.0,2018-09-04
2231989,2018-08-15,1.0,19.0,2018-09-03
2231989,2019-08-15,1.0,25.0,2019-09-09
2535916,2020-02-01,1.0,14.0,2020-02-15
2601579,2018-02-15,1.0,15.0,2018-03-02
2601579,2018-06-01,1.0,22.000000000000004,2018-06-23
2601579,2018-07-15,1.0,23.000000000000004,2018-08-07
2653748,2018-10-01,1.0,25.0,2018-10-26
2767664,2018-06-01,1.0,26.0,2018-06-27
2767664,2019-01-01,1.0,14.0,2019-01-15
3088139,2018-10-15,1.0,25.0,2018-11-09
3285346,2018-07-15,1.0,21.0,2018-08-05
3285346,2018-12-01,1.0,24.000000000000004,2018-12-25
3286344,2018-09-15,1.0,27.0,2018-10-12
3286344,2019-06-01,1.0,28.0,2019-06-29
3393813,2018-05-15,1.0,20.0,2018-06-04
3393813,2018-10-01,1.0,25.0,2018-10-26
3481156,2018-08-01,1.0,26.0,2018-08-27
3481156,2019-03-01,1.0,14.0,2019-03-15
3481156,2019-07-01,1.0,18.0,2019-07-19
3481156,2019-09-15,1.0,16.0,2019-10-01
3727835,2019-09-01,1.0,22.000000000000004,2019-09-23
4102418,2018-12-15,1.0,20.0,2019-01-04
4102418,2019-11-01,1.0,14.0,2019-11-15
4111131,2018-04-15,1.0,23.000000000000004,2018-05-08
4123340,2018-09-15,1.0,19.0,2018-10-04
4125711,2019-01-01,1.0,18.0,2019-01-19
4125711,2019-08-01,1.0,24.000000000000004,2019-08-25
4127089,2018-04-01,1.0,22.000000000000004,2018-04-23
4675177,2019-11-01,1.0,20.0,2019-11-21
4713156,2019-10-15,1.0,20.0,2019-11-04
4794831,2018-11-15,1.0,24.000000000000004,2018-12-09
4897337,2019-10-01,1.0,22.000000000000004,2019-10-23
4915486,2018-07-01,1.0,25.0,2018-07-26
4915486,2019-01-01,1.0,19.0,2019-01-20
4915486,2019-12-01,1.0,15.0,2019-12-16
5285686,2019-09-01,1.0,21.0,2019-09-22
5313783,2018-10-01,1.0,14.0,2018-10-15
5313783,2019-04-15,1.0,27.0,2019-05-12
5315168,2018-04-01,1.0,19.0,2018-04-20
5315168,2018-06-01,1.0,16.0,2018-06-17
5315168,2019-03-15,1.0,19.0,2019-04-03
5315168,2019-09-15,1.0,19.0,2019-10-04
5315168,2019-11-01,1.0,19.0,2019-11-20
5484492,2018-06-01,1.0,28.0,2018-06-29
5484492,2018-08-01,1.0,30.0,2018-08-31
5524905,2018-05-15,1.0,21.0,2018-06-05
5576990,2019-12-15,1.0,17.0,2020-01-01
5690948,2018-03-15,1.0,18.0,2018-04-02
5959099,2018-07-01,1.0,15.0,2018-07-16
5959099,2018-12-15,1.0,24.000000000000004,2019-01-08
5959099,2019-04-01,1.0,15.0,2019-04-16
5959099,2019-08-15,1.0,22.000000000000004,2019-09-06
5959099,2019-12-15,1.0,17.0,2020-01-01
6176776,2018-07-01,1.0,15.0,2018-07-16
