,viewer_id,Recency,RecencyCluster,Frequency,FrequencyCluster,Engagement,EngagementCluster,OverallScore,Segment
0,13047.0,31,3,155,0,2870.9100000000003,0,3,Mid-Value
1,15291.0,25,3,101,0,4339.500000000002,0,3,Mid-Value
2,13705.0,7,3,18,0,393.72,0,3,Mid-Value
3,17924.0,11,3,29,0,2683.5000000000005,0,3,Mid-Value
4,13448.0,16,3,177,0,3095.410000000002,0,3,Mid-Value
5,15862.0,8,3,83,0,478.64999999999986,0,3,Mid-Value
6,16218.0,29,3,56,0,2613.38,0,3,Mid-Value
7,12838.0,33,3,64,0,292.34000000000003,0,3,Mid-Value
8,13255.0,9,3,7,0,173.81,0,3,Mid-Value
9,13758.0,11,3,100,0,2828.100000000001,0,3,Mid-Value
10,15983.0,22,3,81,0,1034.13,0,3,Mid-Value
11,17951.0,39,3,15,0,713.0400000000001,0,3,Mid-Value
12,14001.0,45,3,30,0,1741.8400000000001,0,3,Mid-Value
13,15525.0,2,3,121,0,511.98999999999955,0,3,Mid-Value
14,15485.0,30,3,63,0,1624.9099999999996,0,3,Mid-Value
15,15605.0,36,3,55,0,1003.38,0,3,Mid-Value
16,18144.0,7,3,40,0,2723.7000000000003,0,3,Mid-Value
17,14594.0,7,3,22,0,124.83000000000001,0,3,Mid-Value
18,17760.0,21,3,16,0,115.05000000000001,0,3,Mid-Value
19,14696.0,4,3,112,0,1784.3299999999997,0,3,Mid-Value
20,16539.0,2,3,16,0,640.1000000000001,0,3,Mid-Value
21,17069.0,28,3,132,0,2432.6499999999996,0,3,Mid-Value
22,14741.0,11,3,50,0,1215.8400000000004,0,3,Mid-Value
23,14047.0,8,3,20,0,1021.69,0,3,Mid-Value
24,13941.0,21,3,34,0,4017.8400000000006,0,3,Mid-Value
25,14135.0,1,3,98,0,3895.71,0,3,Mid-Value
26,14766.0,8,3,135,0,2473.37,0,3,Mid-Value
27,14388.0,10,3,165,0,2900.040000000002,0,3,Mid-Value
28,14901.0,11,3,78,0,1217.14,0,3,Mid-Value
29,15955.0,43,3,136,0,3272.9000000000005,0,3,Mid-Value
30,15111.0,29,3,68,0,1278.9799999999998,0,3,Mid-Value
31,13305.0,4,3,76,0,1864.6599999999994,0,3,Mid-Value
32,17287.0,26,3,111,0,950.1900000000002,0,3,Mid-Value
33,15738.0,18,3,159,0,4482.769999999995,0,3,Mid-Value
34,16042.0,22,3,71,0,1197.2700000000002,0,3,Mid-Value
35,13117.0,21,3,61,0,782.79,0,3,Mid-Value
36,16916.0,23,3,93,0,378.17999999999995,0,3,Mid-Value
37,17964.0,31,3,69,0,209.94000000000003,0,3,Mid-Value
38,14466.0,29,3,62,0,1892.65,0,3,Mid-Value
39,17685.0,16,3,118,0,2739.0099999999998,0,3,Mid-Value
40,13138.0,22,3,49,0,769.16,0,3,Mid-Value
41,17567.0,7,3,138,0,3813.529999999999,0,3,Mid-Value
42,17838.0,26,3,90,0,2062.1400000000003,0,3,Mid-Value
43,14829.0,29,3,23,0,460.58,0,3,Mid-Value
44,17412.0,2,3,58,0,1060.76,0,3,Mid-Value
45,17659.0,17,3,146,0,2751.6600000000008,0,3,Mid-Value
46,13145.0,39,3,5,0,323.52,0,3,Mid-Value
47,14865.0,7,3,1,0,15.0,0,3,Mid-Value
48,15093.0,18,3,92,0,3973.289999999998,0,3,Mid-Value
49,16150.0,42,3,95,0,1659.6,0,3,Mid-Value
50,17135.0,16,3,43,0,924.15,0,3,Mid-Value
51,15240.0,44,3,78,0,1706.57,0,3,Mid-Value
52,16891.0,1,3,134,0,577.44,0,3,Mid-Value
53,17884.0,3,3,89,0,529.94,0,3,Mid-Value
54,14083.0,4,3,181,0,1018.4299999999998,0,3,Mid-Value
55,15373.0,8,3,132,0,2415.9100000000003,0,3,Mid-Value
56,17198.0,23,3,96,0,692.2200000000001,0,3,Mid-Value
57,14898.0,23,3,116,0,1303.5199999999995,0,3,Mid-Value
58,13838.0,5,3,174,0,691.7299999999999,0,3,Mid-Value
59,16168.0,10,3,96,0,3726.400000000001,0,3,Mid-Value
60,13831.0,16,3,74,0,2202.99,0,3,Mid-Value
61,17796.0,40,3,82,0,697.9000000000002,0,3,Mid-Value
62,18156.0,12,3,140,0,734.94,0,3,Mid-Value
63,16983.0,12,3,148,0,1931.2499999999998,0,3,Mid-Value
64,16411.0,19,3,45,0,214.64999999999998,0,3,Mid-Value
